name,type,is_list,unit,
bm_cpu_idle_time,int,1,%,
bm_cpu_system_time,int,1,%,
bm_cpu_user_time,int,1,%,
bm_cpu_guest_time,int,1,%,
bm_sensors_type,str,1,,
bm_sensors_input_temp,int,1,C°,
bm_sensors_max_temp,int,1,C°,
bm_sensors_critical_temp,int,1,C°,
bm_sensors_input_fanspeed,int,1,RPM,
bm_disk_type,str,1,,
bm_disk_total_user,int,1,MB,
bm_disk_free_user,int,1,MB,
bm_disk_read_time,int,1,%,
bm_disk_write_time,int,1,%,
bm_disk_io_time,int,1,%,
bm_disk_discard_time,int,1,%,
bm_disk_swap_used,int,1,,
bm_mem_total,int,0,MB,
bm_mem_free,int,0,MB,
bm_mem_available,int,0,MB,
bm_mem_buffers,int,0,MB,
bm_mem_cache,int,0,MB,
bm_mem_active,int,0,MB,
bm_mem_inactive,int,0,MB,
bm_mem_pages_total,int,0,,
bm_mem_pages_free,int,0,,
bm_mem_pages_reserved,int,0,,
bm_mem_pages_size,int,0,MB,
bm_proc_total_count,int,0,,
bm_proc_run_count,int,0,,
bm_proc_sleep_count,int,0,,
bm_proc_idle_count,int,0,,
bm_proc_wait_count,int,0,,
bm_proc_zombie_count,int,0,,
bm_proc_dead_count,int,0,,
bm_net_rx_packets,int,1,,
bm_net_rx_bytes,int,1,,
bm_net_rx_error,int,1,,
bm_net_rx_drop,int,1,,
bm_net_tx_packets,int,1,,
bm_net_tx_bytes,int,1,,
bm_net_tx_error,int,1,,
bm_net_tx_drop,int,1,,
bm_net_up_count,int,1,,
bm_net_down_count,int,1,,
bm_net_state,int,1,B,
bm_net_mtu,int,1,B,
bm_net_numa,int,1,,
bm_net_cpulist,int,1,,
bm_net_tx_queue,int,1,,
bm_net_gw_in_arp,int,1,,
vm_active,int,0,,
vm_cpu_count,int,0,,
vm_cpu_user_time,int,0,%,
vm_cpu_system_time,int,0,%,
vm_cpu_idle_time,int,0,%,
vm_mem_total,int,0,MB,
vm_mem_free,int,0,MB,
vm_mem_cache,int,0,MB,
vm_net_state,int,1,,
vm_net_rx_bytes,int,1,MB,
vm_net_tx_bytes,int,1,MB,
vm_net_ssh,int,0,,
kb_proc_thread_count,int,0,,
kb_mem_total,int,0,MB,
kb_mem_free,int,0,MB,
kb_mem_buffer_total,int,1,,
kb_mem_buffer_free,int,1,,
kb_mem_buffer_cache,int,1,,
kb_net_vector_rate,int,0,,
kb_net_rx_packets,int,1,,
kb_net_rx_bytes,int,1,,
kb_net_rx_error,int,1,,
kb_net_rx_drop,int,1,,
kb_net_tx_packets,int,1,,
kb_net_tx_bytes,int,1,,
kb_net_tx_error,int,1,,
kb_net_tx_drop,int,1,,
kb_err_count,int,0,,

