name,path,severity,rule,
"Free memory available (TESTING)",/node/bm/mem,Orange,free>50
"Free CPU (TESTING)",/node/bm/cpus/cpu,Orange,idle_time>90
"Free VM CPU (TESTING)",/node/vm/cpus/cpu,Orange,idle_time>90
"Swap volume in use",/node/bm/disks/disk,Red,swap_used!=0
"No free memory available",/node/bm/mem,Orange,free<50
"No free memory available for 1 min",/node/bm/mem,Red,1min(free)<50
"No free memory available",/node/vm/mem,Orange,free<50
"No free memory available for 1 min",/node/vm/mem,Red,1min(free)<50
"No free hugepages available",/node/bm/mem,Orange,pages_free==0
"No CPU idle time for 1 min",/node/bm/cpus/cpu,Orange,1min(idle_time)<=1
"No CPU idle time for 5 min",/node/bm/cpus/cpu,Red,5min(idle_time)<=1
"No CPU idle time for 1 min",/node/vm/cpus/cpu,Orange,1min(idle_time)<=1
"No CPU idle time for 5 min",/node/vm/cpus/cpu,Red,5min(idle_time)<=1
"Sensor reached maximum temperature",/node/bm/sensors/sensor,Orange,input_temp>=max_temp
"Sensor reached critical temperature",/node/bm/sensors/sensor,Red,input_temp>=critical_temp
"Low Fan Speed",/node/bm/sensors/sensor,Red,input_fanspeed<100
"Zombie Threads",/node/bm/proc,Orange,zombie_count>0
"No SSH access to VM",/node/vm/net,Orange,ssh==0
"No ARP Entry For Default Gateway",/node/bm/net/if,Red,(state=="up") and (gw_in_arp==0)
"Non-standard Ethernet MTU",/node/bm/net/if,Red,(mtu!=1500) and (type=="ether")
"Interface Flapping",/node/bm/net/if,Red,1min(dynamicity(changes_count))>=6
"Receive Errors Peak",/node/bm/net/if,Orange,1min(dynamicity(rx_error))>100
"Receive Drops Peak",/node/bm/net/if,Orange,1min(dynamicity(rx_drop))>10000
"Transmit Errors Peak",/node/bm/net/if,Orange,1min(dynamicity(tx_error))>100
"Transmit Drops Peak",/node/bm/net/if,Orange,1min(dynamicity(tx_drop))>100
"No Buffers available for GSO",/node/kb/net/if,Orange,dynamicity(gso_no_buffers)>0
"Packet dropped due to missing mbuf",/node/kb/net/if,Orange,dynamicity(rx_no_buffer)>0
"Missing buffer in ip4-input",/node/kb/net/if,Orange,dynamicity(ip4_input_out_of_buffers)>0
"Fragment chain too long",/node/kb/net/if,Orange,dynamicity(ip4_input_fragment_chain_too_long)>0
"Destination lookup miss",/node/kb/net/if,Orange,dynamicity(ip4_input_destination_lookup_miss)>0
"Receive Errors Peak",/node/kb/net/if,Orange,1min(dynamicity(rx_error))>100
"Receive Drops Peak",/node/kb/net/if,Orange,1min(dynamicity(rx_drop))>10000
"Transmit Errors Peak",/node/kb/net/if,Orange,1min(dynamicity(tx_error))>100
"Transmit Drops Peak",/node/kb/net/if,Orange,1min(dynamicity(tx_drop))>100
"Low Buffer Availability",/node/kb/mem,Orange,(buffer_free/buffer_total)<0.1
"DPDK Buffer Alloc Errors",/node/kb/net/if,Orange,dynamicity(dpdk_alloc_errors)>0

